"timestamp","row_number","ward","div","precinct","obs","log_obs","precinct_num","minute"
"11/5/2019 7:28:00",170,"46","17","4617",6,1.79175946922805,1151,18
"11/5/2019 12:55:00",171,"20","02","2002",45,3.80666248977032,438,345
"11/5/2019 13:12:00",172,"21","32","2132",79,4.36944785246702,479,362
"11/5/2019 8:40:00",173,"50","17","5017",30,3.40119738166216,1233,90
"11/5/2019 14:14:00",174,"51","28","5128",158,5.06259503302697,1274,424
"11/5/2019 13:19:00",175,"56","34","5634",67,4.20469261939097,1410,369
"11/5/2019 8:17:00",176,"10","09","1009",20,2.99573227355399,232,67
"11/5/2019 8:30:00",177,"49","13","4913",11,2.39789527279837,1207,80
"11/5/2019 10:02:00",178,"16","02","1602",43,3.76120011569356,353,172
"11/5/2019 9:26:00",179,"27","11","2711",19,2.94443897916644,621,136
"11/5/2019 7:50:00",180,"54","09","5409",4,1.38629436111989,1334,40
"11/5/2019 12:15:00",181,"12","16","1216",88,4.47733681447821,288,305
"11/5/2019 12:01:00",182,"22","21","2221",69,4.23410650459726,513,291
"11/5/2019 8:10:00",183,"62","08","6208",11,2.39789527279837,1573,60
"11/5/2019 8:21:00",184,"51","17","5117",9,2.19722457733622,1263,71
"11/5/2019 14:54:00",185,"10","28","1028",142,4.95582705760126,251,464
"11/5/2019 8:14:00",186,"44","03","4403",10,2.30258509299405,1093,64
"11/5/2019 12:59:00",187,"39","11","3911",23,3.13549421592915,928,349
"11/5/2019 9:51:00",188,"28","11","2811",26,3.25809653802148,644,161
"11/5/2019 10:18:00",190,"31","01","3101",29,3.36729582998647,687,188
"11/5/2019 14:54:00",191,"63","04","6304",158,5.06259503302697,1595,464
"11/5/2019 8:50:00",192,"61","08","6108",33,3.49650756146648,1545,100
"11/5/2019 10:10:00",193,"37","17","3717",36,3.58351893845611,892,180
"11/5/2019 12:42:00",194,"26","05","2605",68,4.21950770517611,592,332
"11/5/2019 14:32:00",195,"63","16","6316",124,4.82028156560504,1607,442
"11/5/2019 10:50:00",196,"20","07","2007",65,4.17438726989564,443,220
"11/5/2019 8:16:00",197,"23","06","2306",10,2.30258509299405,527,66
"11/5/2019 9:38:00",198,"58","02","5802",28,3.3322045101752,1447,148
"11/5/2019 9:54:00",199,"25","20","2520",25,3.2188758248682,583,164
"11/5/2019 11:03:00",200,"38","10","3810",56,4.02535169073515,906,233
"11/5/2019 14:50:00",201,"41","06","4106",65,4.17438726989564,1020,460
"11/5/2019 11:09:00",202,"62","07","6207",67,4.20469261939097,1572,239
"11/5/2019 8:51:00",203,"56","19","5619",43,3.76120011569356,1395,101
"11/5/2019 10:08:00",204,"34","06","3406",75,4.31748811353631,766,178
"11/5/2019 11:25:00",205,"56","11","5611",42,3.73766961828337,1387,255
"11/5/2019 14:47:00",206,"21","18","2118",113,4.72738781871234,465,457
"11/5/2019 11:01:00",207,"22","01","2201",121,4.79579054559674,493,231
"11/5/2019 9:23:00",208,"57","19","5719",38,3.63758615972639,1436,133
"11/5/2019 9:18:00",210,"49","04","4904",49,3.89182029811063,1198,128
"11/5/2019 8:47:00",211,"59","08","5908",43,3.76120011569356,1497,97
"11/5/2019 10:49:00",212,"43","11","4311",25,3.2188758248682,1076,219
"11/5/2019 13:27:00",214,"35","31","3531",66,4.18965474202643,833,377
"11/5/2019 9:07:00",215,"26","04","2604",35,3.55534806148941,591,117
"11/5/2019 11:12:00",216,"21","21","2121",51,3.93182563272433,468,242
